Employee ID,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost
14940,26-Oct-22,Project Management,External,Passed,Powellland,Jon Garcia,5,436.98
14941,08-Apr-23,Communication Skills,Internal,Failed,Amyberg,Mariah Larsen,5,565.78
14942,11-Jul-23,Technical Skills,Internal,Failed,Lake Williamfort,Jessica Reyes,3,617.52
14943,24-Jul-23,Project Management,External,Completed,South Mark,Morgan Wallace,2,806.47
14944,14-Mar-23,Communication Skills,Internal,Incomplete,Darinmouth,Eric Lucas,4,158.97
14945,10-Feb-23,Project Management,Internal,Completed,Lake Kennethhaven,Patricia Ford,2,364.36
14946,19-Feb-23,Project Management,Internal,Completed,New Dave,Sarah Rojas,4,977.29
14947,04-Nov-22,Technical Skills,External,Failed,Tammyfurt,Cynthia Porter,3,533.97
14948,17-Nov-22,Leadership Development,Internal,Passed,Smithview,James Riley,3,439.3
14949,09-Sep-22,Customer Service,External,Failed,Lake Tracyton,Barbara Stevenson,5,395.22
14950,27-Jan-23,Communication Skills,Internal,Passed,South Christopher,Amber Peterson,2,528.76
14951,05-Oct-22,Project Management,Internal,Incomplete,West Juan,Patrick Soto,2,826.58
14952,03-May-23,Leadership Development,Internal,Failed,Sarahberg,Kimberly Gray,5,582.49
14953,25-Oct-22,Project Management,External,Failed,Edwardville,Beth Hughes,3,170.61
14954,29-Mar-23,Project Management,Internal,Passed,Garciafurt,Julie James,3,527.93
14955,20-Feb-23,Leadership Development,External,Passed,Glennberg,Jasmine Conner,4,376.0
14956,13-Aug-22,Leadership Development,External,Failed,South Anthonyfort,Jillian Rodriguez,5,877.62
14957,15-Apr-23,Customer Service,External,Completed,Stephanieburgh,Michelle Castillo,2,381.88
14958,10-Jul-23,Leadership Development,Internal,Completed,Michelleland,Shirley Ali,4,977.99
14959,11-Aug-22,Project Management,External,Failed,Melissaside,Shane Ortiz,5,305.31
14960,28-Jun-23,Project Management,External,Completed,Amandaside,Marc Smith,4,144.83
14961,22-Dec-22,Project Management,External,Passed,Tylermouth,Bradley Warner,5,879.86
14962,21-Nov-22,Customer Service,Internal,Completed,Erikmouth,Adrian Clark,3,873.52
14963,19-Aug-22,Technical Skills,Internal,Incomplete,West Elizabethborough,Stephen Freeman,4,795.89
14964,09-Dec-22,Leadership Development,External,Incomplete,Grantton,Laura Harper,3,721.86
14965,17-Mar-23,Project Management,External,Failed,Brandtchester,Justin Adams,4,234.77
14966,14-Feb-23,Project Management,Internal,Passed,West Ryan,Justin Ingram,3,268.78
14967,11-Apr-23,Project Management,Internal,Passed,Mistybury,Albert Schneider,3,416.76
14968,13-Sep-22,Leadership Development,Internal,Completed,East Michaelville,Andrew Maldonado,1,408.39
14969,11-May-23,Communication Skills,External,Incomplete,Lake Danny,Alexandra Garcia,1,440.54
14970,10-Apr-23,Project Management,Internal,Failed,Cookebury,Roberto Brennan,3,737.91
14971,05-Mar-23,Communication Skills,External,Passed,Douglasview,Tyler Ortega,1,668.91
14972,27-May-23,Customer Service,External,Incomplete,Hickmanburgh,Mike Stevenson,4,531.69
14973,12-May-23,Technical Skills,Internal,Passed,Lake Elizabeth,Heather Baker,4,818.39
14974,27-Jan-23,Technical Skills,External,Failed,Aliciaburgh,Henry Kelly,5,966.19
14975,16-Sep-22,Leadership Development,External,Completed,Katherineside,Jessica Spencer,5,136.33
14976,11-Mar-23,Communication Skills,External,Completed,New Michaeltown,Jennifer Cline MD,3,894.38
14977,26-Mar-23,Leadership Development,External,Completed,Deniseshire,Jim Adams,4,196.31
14978,14-Apr-23,Communication Skills,External,Incomplete,North Susan,Elizabeth Robinson,5,304.06
14979,25-Jun-23,Communication Skills,External,Completed,Alyssaside,Megan Reynolds,2,197.96
14980,28-Aug-22,Technical Skills,External,Failed,Elizabethfurt,Theresa Yang,2,361.28
14981,11-Aug-22,Project Management,External,Failed,Melissaside,Shane Ortiz,5,305.31
14982,17-Mar-23,Leadership Development,Internal,Completed,South Kevinside,Tyler Farmer,1,193.58
14983,05-May-23,Project Management,External,Failed,Port Glennview,Timothy Jones,1,811.91
14984,28-Nov-22,Technical Skills,External,Passed,Lake Charlesborough,Dr. Allison Reese,4,298.1
14985,28-Dec-22,Leadership Development,Internal,Completed,Debbiechester,Sherri Cole,5,691.71
14986,21-Mar-23,Customer Service,Internal,Passed,Tiffanystad,Bobby Poole,2,942.81
14987,04-Feb-23,Communication Skills,External,Completed,South Gina,Nancy Reyes,3,693.52
14988,31-Oct-22,Project Management,External,Failed,East Morgan,Sarah Harris,2,166.78
14989,04-Apr-23,Project Management,Internal,Failed,Port Eric,Michael Mckinney,1,823.08
14990,01-Apr-23,Leadership Development,External,Incomplete,Annaport,David Anderson,2,125.88
14991,16-Feb-23,Project Management,Internal,Completed,Mariahton,Frederick White,5,219.78
14992,25-Nov-22,Communication Skills,Internal,Failed,Bryantport,Sharon Miller,2,206.44
14993,28-Nov-22,Technical Skills,External,Passed,New Teresaland,Billy Baker,1,680.48
14994,05-Feb-23,Project Management,Internal,Completed,Amberborough,Teresa Reilly,4,585.84
14995,25-Nov-22,Customer Service,Internal,Completed,Dominiqueton,Nancy Harrison,5,275.94
14996,09-Mar-23,Communication Skills,Internal,Passed,North Lauramouth,David Velazquez,3,310.41
14997,28-Feb-23,Communication Skills,Internal,Completed,Ericabury,Michael Richardson,1,830.63
14998,02-Mar-23,Technical Skills,External,Passed,Port Williamville,Joseph Phillips,1,465.96
14999,24-Feb-23,Customer Service,External,Incomplete,Jasonborough,Vincent Spencer,1,604.93
15000,13-Jul-23,Leadership Development,External,Incomplete,Rodriguezfort,Jonathon Obrien,1,961.55
15001,15-Aug-22,Technical Skills,Internal,Failed,Jimmymouth,Darren Harrell,2,919.95
15002,02-Nov-22,Technical Skills,External,Completed,Whiteberg,Alexandra Smith,2,363.8
15003,18-Oct-22,Communication Skills,External,Failed,Mitchellbury,Jeffery Phillips,3,258.73
15004,28-Nov-22,Customer Service,External,Passed,Lake Scott,Seth Rice,2,585.65
15005,18-Dec-22,Project Management,Internal,Passed,Lisaland,Ana Lane,2,399.97
15006,08-Dec-22,Technical Skills,Internal,Incomplete,Connerborough,Kelly Thompson DDS,1,344.74
15007,08-Nov-22,Leadership Development,External,Completed,Chasefurt,Mrs. Sandra Howard DDS,5,625.76
15008,07-Jun-23,Leadership Development,External,Incomplete,Henrytown,Brian Kelly,3,644.97
15009,19-Jul-23,Customer Service,External,Completed,Davidview,Robert Tyler,5,923.06
15010,26-Dec-22,Communication Skills,Internal,Passed,Alexanderchester,Mrs. Elizabeth Salazar,5,346.93
15011,28-Apr-23,Project Management,External,Failed,Lake Johnview,Ryan Fowler,1,942.75
15012,19-Mar-23,Project Management,External,Failed,North Katelynside,Laura Berg,5,475.8
15013,19-May-23,Project Management,Internal,Failed,Lake Kenneth,Stephen Parker,1,777.46
15014,07-Dec-22,Customer Service,External,Failed,Fergusonmouth,Taylor Bradley,1,721.96
15015,31-Dec-22,Customer Service,Internal,Passed,Parkertown,Mark Bowen,1,338.16
15016,15-Nov-22,Project Management,External,Incomplete,Belltown,Nathan Hill,4,555.6
15017,10-Jun-23,Customer Service,External,Incomplete,Wongville,Emma Moran,2,651.52
15018,11-Apr-23,Customer Service,Internal,Failed,Fullerstad,Miguel Villarreal,5,733.63
15019,21-Sep-22,Communication Skills,External,Completed,Wardstad,Gary Hill,4,516.9
15020,20-Apr-23,Leadership Development,External,Incomplete,Moorefurt,Rebecca Ball,5,155.14
15021,17-Feb-23,Technical Skills,Internal,Completed,Deleonborough,Misty Miranda,5,918.34
15022,17-May-23,Customer Service,External,Completed,East Adriana,Sean Patterson,3,851.87
15023,03-Jul-23,Communication Skills,Internal,Incomplete,Madisonview,Michael Murillo,5,873.98
15024,04-Oct-22,Customer Service,Internal,Incomplete,Rodneyton,Brandon Fuller,3,360.08
15025,11-Apr-23,Customer Service,Internal,Failed,Fullerstad,Miguel Villarreal,5,733.63
15026,22-Apr-23,Project Management,External,Incomplete,Greenfort,Manuel Byrd,2,713.22
15027,28-Nov-22,Communication Skills,Internal,Incomplete,New William,Joy Meyers,1,659.25
15028,26-Mar-23,Communication Skills,Internal,Incomplete,Gallowaychester,Jorge Rice,5,769.97
15029,10-Dec-22,Project Management,External,Incomplete,New Dennisshire,Jose Guzman,5,719.54
15030,25-May-23,Project Management,External,Passed,North Duanemouth,Stephanie Anderson,5,401.97
15031,27-Oct-22,Leadership Development,Internal,Incomplete,Johnsonberg,Elizabeth Lopez,1,608.47
15032,06-Apr-23,Communication Skills,Internal,Failed,South Bradleychester,Sara Perry,2,121.05
15033,28-Mar-23,Project Management,Internal,Passed,West Chelseastad,Christopher Davidson,4,121.88
15034,04-Feb-23,Project Management,External,Failed,East Cherylmouth,Melissa Oliver,1,210.38
15035,27-Apr-23,Project Management,Internal,Passed,Jefferyland,Scott Howard,5,140.91
15036,26-Feb-23,Project Management,External,Incomplete,East Guyview,Stephanie Rogers,5,638.92
15037,21-Sep-22,Communication Skills,External,Completed,Wardstad,Gary Hill,4,516.9
15038,10-Apr-23,Leadership Development,External,Incomplete,Anthonybury,Joshua Gallagher,1,610.97
15039,04-Apr-23,Leadership Development,Internal,Incomplete,North Patricia,Regina Brown,3,340.07
15040,15-Feb-23,Customer Service,Internal,Completed,North Sheila,Gina White,3,692.71
15041,04-Jul-23,Communication Skills,Internal,Incomplete,East Julie,Lisa Hahn,1,388.07
15042,14-Feb-23,Communication Skills,Internal,Completed,Michaelfort,Jacob Lee,4,107.48
15043,03-Jul-23,Technical Skills,Internal,Failed,Lorifurt,Lisa Malone,2,675.95
15044,16-Sep-22,Technical Skills,Internal,Incomplete,Brianville,Victoria Vasquez,3,256.82
15045,05-Mar-23,Technical Skills,External,Incomplete,East Jessica,Vanessa Lynch,5,138.4
15046,16-Oct-22,Communication Skills,External,Incomplete,Richardfurt,Trevor Holmes,5,900.02
15047,15-Jul-23,Leadership Development,External,Completed,East Robertside,Patrick Andrews,2,641.69
15048,02-Mar-23,Leadership Development,External,Completed,Joneston,Amanda Hughes,2,723.9
15049,03-Mar-23,Communication Skills,External,Completed,Port Kelly,Anthony Burns,3,512.53
15050,27-Nov-22,Customer Service,Internal,Passed,Davidhaven,Matthew Lee,3,284.05
15051,12-Sep-22,Leadership Development,External,Passed,Butlerchester,Brian Hawkins,3,442.1
15052,17-Jun-23,Project Management,External,Passed,Diazchester,Jeffrey Roberts,5,339.73
15053,31-Jul-23,Leadership Development,External,Failed,East Nicolefort,Michael Roberts,5,483.99
15054,18-Jun-23,Leadership Development,External,Failed,East Ronniehaven,Blake Miller,3,184.66
15055,19-Sep-22,Leadership Development,Internal,Failed,Richardfurt,George Brown,1,428.9
15056,21-Jul-23,Technical Skills,Internal,Failed,Mirandachester,Paul Robinson,1,169.79
15057,20-Jan-23,Customer Service,External,Failed,Lake Carlmouth,Kim Moss,1,791.72
15058,15-Jun-23,Communication Skills,External,Incomplete,North Kevinburgh,Susan Nelson,2,123.32
15059,07-Jul-23,Customer Service,External,Incomplete,Greenestad,Patrick Gray,3,637.61
15060,09-Aug-22,Leadership Development,External,Passed,Brittneystad,Christina Garcia,4,615.7
15061,17-Apr-23,Technical Skills,External,Failed,Masonborough,Adam Luna,1,732.84
15062,16-May-23,Leadership Development,Internal,Failed,Port Victoria,Sharon Walker,1,855.26
15063,09-Oct-22,Leadership Development,External,Incomplete,North Katherineton,Diane Carlson,3,742.84
15064,05-Apr-23,Communication Skills,Internal,Completed,Andrewburgh,David Miller MD,2,999.0
15065,09-Apr-23,Leadership Development,Internal,Failed,Nicolebury,Megan Wilson,5,192.61
15066,30-Dec-22,Communication Skills,Internal,Passed,West Susanton,Ms. Rebecca Conley,4,399.55
15067,04-Jan-23,Technical Skills,External,Passed,Heatherborough,Crystal Wallace,1,700.53
15068,19-Nov-22,Technical Skills,External,Incomplete,Gaineschester,Vickie Fisher,5,593.14
15069,28-Jul-23,Leadership Development,Internal,Passed,Toddburgh,Amber Nelson,3,831.52
15070,29-Aug-22,Communication Skills,Internal,Passed,Port Ashleyport,Ruben Gilbert,1,136.23
15071,17-Mar-23,Project Management,External,Incomplete,North Mario,Robert May,3,251.78
15072,02-Oct-22,Customer Service,External,Completed,Port Travismouth,Stephanie Farmer,3,811.14
15073,22-Jun-23,Communication Skills,Internal,Passed,Lake Danielstad,Jacob Soto,3,724.95
15074,30-May-23,Communication Skills,Internal,Completed,Eugeneborough,Steven Hernandez,1,704.53
15075,04-Jun-23,Leadership Development,External,Passed,Emilymouth,Paul Bradley,3,868.85
15076,02-Apr-23,Customer Service,Internal,Incomplete,Kristenton,Kimberly Doyle,3,353.21
15077,12-Feb-23,Leadership Development,Internal,Completed,New Toddville,Michael Smith,5,612.96
15078,29-Jan-23,Leadership Development,Internal,Incomplete,Port Jenniferside,Tyler Mcgee,2,724.87
15079,19-Jul-23,Technical Skills,Internal,Failed,South John,Krista Estrada,1,933.59
15080,02-Jul-23,Leadership Development,External,Completed,East John,John Daniel,5,654.35
15081,20-Sep-22,Leadership Development,External,Passed,Lake Benjamin,Steven Scott PhD,4,550.55
15082,16-Jan-23,Leadership Development,Internal,Completed,Port Haroldtown,Dave Williams,4,247.11
15083,09-Oct-22,Technical Skills,Internal,Incomplete,South Nathan,Sylvia Obrien,2,932.4
15084,17-May-23,Technical Skills,External,Incomplete,Jasonview,Christine Stein,4,100.17
15085,05-Apr-23,Technical Skills,Internal,Incomplete,Lake Lisamouth,Michael Lyons,3,964.33
15086,30-Jul-23,Technical Skills,External,Completed,South Judithmouth,James Vasquez,2,892.83
15087,03-Jan-23,Leadership Development,Internal,Passed,Lake Ronaldfort,Timothy Walker,5,237.3
15088,03-Nov-22,Project Management,External,Completed,Jeffreyshire,Renee Sutton,1,851.57
15089,11-Dec-22,Leadership Development,External,Incomplete,Andrewville,David Russell,4,925.16
15090,02-Nov-22,Leadership Development,External,Incomplete,North Regina,Dennis Decker,4,976.03
15091,23-Aug-22,Project Management,Internal,Passed,New Morganshire,Cynthia Bailey,1,134.05
15092,14-Jan-23,Project Management,Internal,Passed,Karenchester,Stephanie Parrish,4,425.59
15093,06-May-23,Technical Skills,Internal,Failed,Kristybury,Donna Gonzalez,3,706.23
15094,11-Oct-22,Communication Skills,External,Failed,Rachelmouth,Thomas Johnson,5,104.48
15095,15-Oct-22,Communication Skills,External,Completed,Connerstad,Michael May,4,606.89
15096,10-Nov-22,Project Management,External,Completed,Port Anthonyton,Terri Martin,5,514.94
15097,30-Jan-23,Customer Service,Internal,Incomplete,Lake Sherryside,Jared Moses,4,134.93
15098,05-Jul-23,Project Management,Internal,Incomplete,Lake Katelyn,Elizabeth Allen,3,878.11
15099,17-Feb-23,Technical Skills,External,Passed,Port Sean,Tracy Roberts,3,724.51
15100,09-Dec-22,Leadership Development,Internal,Completed,Pageport,John Watson,4,740.51
15101,14-Sep-22,Project Management,External,Completed,Fosterhaven,Carolyn Ward,2,107.77
15102,07-Sep-22,Leadership Development,External,Passed,West Linda,Patrick Cruz,3,973.96
15103,28-Nov-22,Customer Service,External,Completed,East John,James Lee,4,265.55
15104,30-Jul-23,Leadership Development,External,Passed,South Robinhaven,Kendra Rodriguez,3,557.34
15105,21-Dec-22,Customer Service,External,Passed,Port Andrew,Christian Higgins,1,701.55
15106,06-Dec-22,Communication Skills,Internal,Passed,North Megan,Johnny Moore,3,643.9
15107,23-Feb-23,Project Management,Internal,Failed,Nicolechester,Paul James,4,782.82
15108,04-Apr-23,Communication Skills,External,Completed,South Michael,Ashley Contreras,1,568.22
15109,08-Jun-23,Project Management,Internal,Completed,Kylestad,Michelle Carlson,5,639.13
15110,25-Mar-23,Customer Service,External,Incomplete,New Sarahland,Tony Burns,2,456.3
15111,16-Sep-22,Technical Skills,Internal,Completed,Dustinside,Elizabeth Fischer,3,274.22
15112,21-Aug-22,Customer Service,Internal,Completed,East Shaneside,Jenny Peters,1,457.71
15113,13-May-23,Leadership Development,Internal,Incomplete,Dukeborough,Kevin Carter,5,862.9
15114,24-Jul-23,Project Management,External,Passed,Lake Michael,Gary Smith,3,374.58
15115,02-Aug-23,Technical Skills,External,Incomplete,Courtneyville,Martha Clements,1,292.8
15116,16-Mar-23,Communication Skills,External,Passed,Callahanton,Margaret Walker,4,343.6
15117,21-Dec-22,Project Management,Internal,Completed,Brendaside,Paul Harrington,3,880.67
15118,20-Nov-22,Project Management,Internal,Incomplete,East Michellechester,Lisa Jenkins,3,633.72
15119,15-Oct-22,Technical Skills,External,Failed,West Laurentown,Rhonda Rivera,2,677.74
15120,02-Sep-22,Technical Skills,Internal,Incomplete,Marthamouth,Susan Shelton,3,907.13
15121,22-May-23,Project Management,Internal,Incomplete,Port Tanyamouth,Chelsey Long,3,330.04
15122,07-Jan-23,Project Management,Internal,Failed,Cindyfurt,Brandon Fox,5,104.95
15123,24-Apr-23,Technical Skills,Internal,Failed,East Vincent,Jennifer Lopez,2,982.33
15124,25-Apr-23,Project Management,Internal,Passed,New Michellestad,James Owens,5,605.29
15125,15-May-23,Project Management,External,Failed,Lindseystad,William Paul,1,131.98
15126,04-Feb-23,Leadership Development,External,Failed,Perryborough,Frank Rhodes,3,158.79
15127,14-Jun-23,Technical Skills,External,Completed,Elizabethberg,Carl Mathis,3,353.58
15128,11-May-23,Customer Service,Internal,Failed,Evanhaven,Samantha Jackson,2,400.81
15129,19-May-23,Leadership Development,External,Completed,Elizabethview,Louis Todd,2,649.18
15130,05-May-23,Project Management,Internal,Failed,Austinville,Ryan Morris,3,624.8
15131,01-Oct-22,Customer Service,External,Completed,Port Brandon,Stephanie Hill,1,930.06
15132,30-Aug-22,Communication Skills,External,Incomplete,Thomastown,Daniel Garrett,2,239.16
15133,02-Sep-22,Customer Service,External,Incomplete,South Raymondchester,Christopher Griffin,3,669.57
15134,10-Jun-23,Technical Skills,External,Completed,Port Stacymouth,Casey West,4,149.67
15135,19-Jul-23,Customer Service,Internal,Incomplete,Lake Dustin,Cheryl Watts,2,249.76
15136,19-Aug-22,Customer Service,Internal,Passed,Barajasside,Jessica Cunningham,5,283.57
15137,07-Dec-22,Project Management,Internal,Failed,Carlland,Michael Patel,5,104.66
15138,20-Sep-22,Communication Skills,Internal,Completed,Wilkinsfurt,Heather Gutierrez,5,971.46
15139,23-Apr-23,Leadership Development,External,Failed,East Amyville,Alexander King,5,628.62
15140,25-Oct-22,Leadership Development,Internal,Failed,North Stephanie,Alexandra Hall,2,646.76
15141,21-Jan-23,Project Management,External,Incomplete,Lake Dennis,Michaela Diaz,5,161.15
15142,16-May-23,Leadership Development,Internal,Incomplete,Larrytown,Tony Ray,3,976.9
15143,01-Apr-23,Leadership Development,External,Completed,South Elizabethfort,Wendy Curry,2,602.21
15144,10-Jul-23,Customer Service,Internal,Completed,New Codyview,Erin Keller DVM,5,419.79
15145,08-Sep-22,Customer Service,Internal,Completed,New Bobbyville,Andrea Beck,4,606.57
15146,08-Jun-23,Communication Skills,External,Incomplete,Sandersfort,Tonya Stein,1,945.59
15147,15-Nov-22,Project Management,External,Incomplete,Belltown,Nathan Hill,4,555.6
15148,09-Sep-22,Communication Skills,Internal,Passed,Rothville,Monique Williams DVM,5,270.92
15149,08-Feb-23,Project Management,External,Incomplete,Monicahaven,Alexander Tanner,2,964.12
15150,13-Sep-22,Project Management,External,Incomplete,Halefurt,Elizabeth Lloyd,3,355.84
15151,06-Nov-22,Leadership Development,Internal,Failed,Davismouth,Dwayne Allen,3,765.2
15152,25-May-23,Customer Service,External,Completed,Williambury,Valerie Tucker,5,892.97
15153,26-Apr-23,Leadership Development,External,Incomplete,Powellside,Matthew Watson,4,349.48
15154,18-Feb-23,Technical Skills,Internal,Failed,Wilsonborough,Diane Lam,3,241.19
15155,02-Oct-22,Technical Skills,Internal,Completed,East Ashley,Pedro Elliott,2,394.74
15156,04-Nov-22,Technical Skills,External,Completed,Robertview,Amanda Andersen,3,589.88
15157,28-Dec-22,Customer Service,Internal,Incomplete,Aaronburgh,Joshua David,3,633.96
15158,27-Jun-23,Customer Service,Internal,Completed,Lake Lindaland,Tricia Flowers,1,736.19
15159,02-Sep-22,Customer Service,External,Completed,West Catherineton,Lori Smith,5,924.85
15160,29-Aug-22,Leadership Development,External,Incomplete,Matthewburgh,Douglas Robinson,1,161.47
15161,21-Aug-22,Communication Skills,Internal,Failed,West Justinmouth,Kathleen Cole,4,480.17
15162,28-Jun-23,Technical Skills,External,Failed,East Elizabeth,Andrew Hendricks,3,894.88
15163,30-Mar-23,Customer Service,Internal,Passed,East Lindsay,Michael Kramer,2,659.9
15164,28-Aug-22,Technical Skills,External,Failed,Elizabethfurt,Theresa Yang,2,361.28
15165,17-May-23,Customer Service,External,Completed,East Adriana,Sean Patterson,3,851.87
15166,15-Jun-23,Customer Service,External,Failed,Georgeburgh,Jessica Golden,3,118.94
15167,13-Apr-23,Project Management,External,Passed,Port Janice,Meghan Romero,5,886.07
15168,20-May-23,Technical Skills,Internal,Incomplete,New Shannontown,Anthony King,4,381.09
15169,04-Nov-22,Technical Skills,Internal,Passed,Lake Veronica,Sherry Cortez,3,499.48
15170,26-Dec-22,Leadership Development,External,Passed,East Parkerchester,Laura Carpenter,3,609.3
15171,31-Jan-23,Customer Service,Internal,Completed,Christineburgh,Brian Powers,1,397.27
15172,14-Apr-23,Leadership Development,Internal,Incomplete,Torresbury,Lisa Harris,5,981.36
15173,22-Oct-22,Communication Skills,Internal,Failed,New Vernonberg,Christopher Becker,5,792.72
15174,27-Sep-22,Project Management,Internal,Completed,North Timothyland,Taylor Harrington,3,272.58
15175,20-Apr-23,Technical Skills,External,Incomplete,Jessicaside,Laura Hammond,4,830.45
15176,21-Feb-23,Communication Skills,Internal,Passed,Jameschester,Jose Gates,5,162.46
15177,19-Oct-22,Customer Service,Internal,Passed,South Jennifer,Chad Snow,5,759.9
15178,19-May-23,Technical Skills,Internal,Passed,Mendozamouth,Melissa Campos,5,179.91
15179,09-Nov-22,Technical Skills,External,Incomplete,Fernandezborough,Rachel Foster,4,730.04
15180,22-Dec-22,Communication Skills,External,Passed,South Kelly,Christina Ruiz,2,869.96
15181,21-Apr-23,Leadership Development,Internal,Completed,Scottview,Robert Smith,3,384.28
15182,10-Nov-22,Project Management,External,Completed,Port Anthonyton,Terri Martin,5,514.94
15183,16-Oct-22,Technical Skills,Internal,Completed,South Maureenview,Mrs. Crystal White DVM,3,912.09
15184,13-Oct-22,Project Management,Internal,Passed,Jonesberg,Tammy Sampson,1,400.62
15185,08-Jul-23,Project Management,Internal,Incomplete,East Jimmy,Christopher Smith,1,137.87
15186,31-Jan-23,Customer Service,Internal,Completed,Christineburgh,Brian Powers,1,397.27
15187,10-Aug-22,Technical Skills,External,Passed,Port Jasmine,Steven Terrell,5,990.52
15188,01-Dec-22,Technical Skills,Internal,Completed,Robertsmouth,Robert Johnson,5,712.84
15189,09-Aug-22,Customer Service,External,Incomplete,Vickiberg,Dr. Krista Hatfield,1,374.73
15190,31-Dec-22,Technical Skills,External,Incomplete,Jacksonborough,Heidi Cole,2,783.36
15191,11-May-23,Project Management,External,Completed,East Kevinport,Mary Little,1,977.23
15192,05-Mar-23,Leadership Development,External,Completed,Traceyfurt,Katie Mccarthy,4,544.43
15193,19-May-23,Communication Skills,Internal,Failed,Dennisberg,Mark Baker,5,497.54
15194,30-Jul-23,Technical Skills,Internal,Incomplete,Jacksonville,Rachel Hood,1,343.76
15195,13-Jul-23,Leadership Development,Internal,Incomplete,Rhondaview,Tracy Russell,4,674.34
15196,21-Jan-23,Leadership Development,External,Incomplete,Stephensville,Dawn Gardner,2,526.6
15197,18-Jun-23,Technical Skills,Internal,Passed,South Taylor,Marcus Harris,1,460.53
15198,25-Aug-22,Leadership Development,Internal,Failed,Kevinmouth,William Nguyen,5,511.15
15199,09-Jul-23,Technical Skills,External,Passed,Moralesville,Wanda Jones,3,839.16
15200,10-May-23,Leadership Development,External,Passed,South Kristaborough,Thomas Ware,4,265.22
15201,18-Aug-22,Leadership Development,Internal,Failed,Devinfurt,Brenda Rice,4,983.02
15202,18-Oct-22,Project Management,Internal,Failed,Michelleview,Mark Cooper,3,798.97
15203,26-Jan-23,Communication Skills,Internal,Passed,New Jasonland,Mr. John Singh,5,931.46
15204,06-Dec-22,Technical Skills,External,Incomplete,Reedside,Scott Williams,1,998.74
15205,18-Oct-22,Project Management,External,Completed,Ramostown,Jordan Williams,5,812.22
15206,30-Aug-22,Technical Skills,External,Failed,Hillville,Tammy Thomas,3,805.93
15207,17-Nov-22,Project Management,External,Incomplete,East Bridget,Michael Mercado,5,157.85
15208,03-Feb-23,Leadership Development,Internal,Completed,North Williamborough,Emily Robinson,3,860.31
15209,05-Jun-23,Communication Skills,Internal,Incomplete,Tylermouth,Melissa Chambers,2,253.51
15210,29-May-23,Project Management,External,Incomplete,Michaelstad,Kristi Jackson,3,733.04
15211,25-Nov-22,Communication Skills,Internal,Failed,Bryantport,Sharon Miller,2,206.44
15212,09-Dec-22,Customer Service,External,Completed,East Michaelside,Stephanie Bruce,5,307.13
15213,20-Mar-23,Customer Service,External,Incomplete,East Julie,Joseph Russo,3,718.21
15214,22-Jan-23,Customer Service,External,Passed,Greeneside,Martin Ross,1,786.71
15215,05-Jan-23,Project Management,Internal,Passed,North James,Brandon Braun,1,643.82
15216,08-Nov-22,Technical Skills,External,Passed,South Jasonchester,Austin Carlson,2,805.7
15217,19-Oct-22,Project Management,Internal,Incomplete,East Briantown,Denise Lopez,4,271.9
15218,04-May-23,Customer Service,External,Passed,Port Tammyside,Andre Maxwell,4,321.91
15219,23-May-23,Customer Service,Internal,Completed,Ricardoberg,Shane Short,5,124.54
15220,23-Jun-23,Technical Skills,Internal,Completed,West Stacystad,Erica Johnson,2,174.85
15221,16-Aug-22,Leadership Development,External,Incomplete,West Nicole,Jacqueline Kelly,2,645.16
15222,24-Jun-23,Project Management,External,Failed,Lake Davidbury,Jermaine Coleman,1,840.76
15223,01-Apr-23,Customer Service,Internal,Incomplete,East Eileenton,Jeff Martin,1,150.96
15224,12-Oct-22,Communication Skills,Internal,Passed,Moranburgh,Virginia Small,4,713.84
15225,29-Aug-22,Leadership Development,External,Failed,Woodsbury,Tracy English,1,400.73
15226,28-Jun-23,Project Management,Internal,Failed,Port Amanda,Melissa Carter,1,599.74
15227,26-May-23,Project Management,Internal,Completed,Lake Derekburgh,Kenneth Rodriguez,4,926.76
15228,13-Jun-23,Leadership Development,External,Failed,South Rebecca,Andrew Sanders,2,984.63
15229,14-Jan-23,Communication Skills,External,Incomplete,Collinsshire,Kimberly Richardson,5,582.7
15230,15-Apr-23,Customer Service,External,Completed,Stephanieburgh,Michelle Castillo,2,381.88
15231,03-Mar-23,Communication Skills,Internal,Incomplete,Marissachester,Jennifer Myers,2,353.7
15232,19-Mar-23,Leadership Development,External,Completed,Chenshire,Michael Hoffman,3,528.55
15233,31-Dec-22,Communication Skills,External,Incomplete,Sullivanland,Jessica Quinn,1,483.82
15234,11-Oct-22,Technical Skills,External,Passed,Jamiestad,Jeffery Brown,1,276.47
15235,26-Sep-22,Customer Service,Internal,Passed,Boydhaven,Melissa Schmidt,4,548.18
15236,15-Mar-23,Project Management,External,Completed,Hillstad,Jennifer Gonzales,2,379.68
15237,14-Jun-23,Project Management,External,Incomplete,Port Christopher,Miss Jamie Miller,5,278.62
15238,26-Nov-22,Technical Skills,Internal,Completed,Markshire,Amanda Gardner,1,925.68
15239,27-Jan-23,Project Management,Internal,Completed,Millerborough,Jeremy Morris,5,877.47
15240,02-Nov-22,Customer Service,External,Failed,Watsonview,Rodney Deleon,2,626.4
15241,07-Sep-22,Customer Service,Internal,Passed,South Patricia,William Wilson,4,833.99
15242,18-Oct-22,Customer Service,Internal,Failed,Rebeccaville,Daniel Johnson,1,292.85
